50,CHA,Ryan Hollins,UCLA,10,518,6134,1913,1140,151,.584,.000,.649,11.8,3.7,2.2,0.3,10.4,.081,-4.1,-3.2,300.0
51,LAL,Cheikh Samb,,2,22,114,22,31,1,.250,.000,.444,5.2,1.0,1.4,0.0,-0.1,-.056,-9.1,-0.2,0.0
52,LAC,Guillermo DÃ­az,Miami (FL),1,6,18,5,2,1,.250,.000,.600,3.0,0.8,0.3,0.2,0.0,.033,-2.9,0.0,0.0
53,SEA,Yotam Halperin,,,,,,,,,,,,,,,,,,,0.0
54,NJN,Hassan Adams,Arizona,2,73,547,185,84,14,.534,.000,.643,7.5,2.5,1.2,0.2,0.8,.072,-2.3,0.0,9.0
55,CLE,Ejike Ugboaja,,,,,,,,,,,,,,,,,,,0.0
56,TOR,Edin BavÄiÄ‡,,,,,,,,,,,,,,,,,,,0.0
57,MIN,Loukas Mavrokefalidis,,,,,,,,,,,,,,,,,,,0.0
58,DAL,J.R. Pinnock,George Washington,,,,,,,,,,,,,,,,,,0.0
59,SAS,Damir Markota,,1,30,170,51,31,6,.365,.375,.636,5.7,1.7,1.0,0.2,-0.2,-.070,-8.5,-0.3,0.0
60,DET,Will Blalock,Iowa State,1,14,166,25,15,17,.300,.200,1.000,11.9,1.8,1.1,1.2,-0.1,-.032,-5.8,-0.2,0.0
